Year;Month;Date;Piege;Commune;Village;Environnement;Eau;Debris;H20;Oeufs;Albo_M;Tot_Albo;Aegypti_M;Tot_aegypti;Tot_Aedes;X;Y
2021;Septembre;06/05/2021;6;Koungou;Kangani;U;claire;faibles;sec;80;97;97;0;0;97;520115,8;8592855,11
2021;Septembre;02/06/2021;3;Koungou;Kangani;U;claire;faibles;sec;97;92;92;5;5;97;520127,17;8592966,79
2021;Octobre;06/05/2021;10;Koungou;Kangani;U;claire;faibles;sec;150;89;89;17;17;106;520124,05;8592713,34
2021;Août;26/08/2021;9;Koungou;Kangani;U;trouble;faibles;sec;97;41;41;5;5;46;520137,24;8592627,29
2021;Août;09/03/2021;7;Koungou;Kangani;U;trouble;faibles;sec;223;11;48;5;5;53;520164,53;8592838,27
2021;Octobre;09/03/2021;11;Koungou;Kangani;U;trouble;faibles;sec;135;13;27;5;61;88;520319,66;8592688,64
2021;mai;07/07/2021;2;Koungou;Kangani;U;claire;Neutre;sec;90;0;0;0;0;0;520214,66;8592955,12
2021;Février;18/05/2021;5;Koungou;Kangani;U;Neutre;Neutre;sec;0;0;0;0;0;0;520046,77;8592876,28
2021;Mars ;19/08/2021;2;Koungou;Kangani;U;Neutre;Neutre;sec;0;0;0;5;5;5;520214,55;8592955,12
2021;Mars ;19/08/2021;4;Koungou;Kangani;U;Neutre;Neutre;sec;0;0;0;5;5;5;520157,31;8592912,59
2021;mai;23/03/2021;3;Koungou;Kangani;U;Neutre;Neutre;sec;62;20;20;5;5;21;520127,17;8592966,79
2021;mai;29/03/2021;5;Koungou;Kangani;U;Neutre;Neutre;sec;62;20;20;5;5;21;520046,77;8592876,28
2021;mai;30/06/2021;3;Koungou;Kangani;U;Neutre;Neutre;sec;62;20;20;5;5;21;520127,17;8592966,79
2021;mai;04/03/2021;11;Koungou;Kangani;U;Neutre;Neutre;sec;62;20;20;5;5;21;520319,66;8592688,64
2021;mai;23/03/2021;2;Koungou;Kangani;U;Neutre;Neutre;sec;62;20;20;5;5;21;520214,66;8592955,12
2021;Mars ;05/11/2021;8;Koungou;Kangani;U;Neutre;Neutre;sec;0;22;22;5;5;21;520212,53;8592719,58
2021;Juin;30/06/2021;4;Koungou;Kangani;U;Neutre;Neutre;sec;62;22;22;5;5;21;520157,31;8592912,59
2021;Juin;23/07/2021;3;Koungou;Kangani;U;Neutre;Neutre;sec;62;22;22;5;5;21;520127,17;8592966,79
2021;Juin;23/07/2021;4;Koungou;Kangani;U;Neutre;Neutre;sec;62;22;22;5;5;21;520157,31;8592912,59
2021;Mars ;05/11/2021;11;Koungou;Kangani;U;Neutre;Neutre;sec;0;22;22;5;5;21;520319,66;8592688,64
2021;Juin;23/07/2021;6;Koungou;Kangani;U;Neutre;Neutre;sec;62;22;22;5;5;21;520115,69;8592855,11
2021;Juin;23/07/2021;7;Koungou;Kangani;U;Neutre;Neutre;sec;62;22;22;5;5;21;520099,39;8592838,31
2021;Juin;23/07/2021;11;Koungou;Kangani;U;Neutre;Neutre;sec;62;22;22;5;5;21;520319,66;8592688,64
2021;Mars ;15/10/2021;11;Koungou;Kangani;U;Neutre;Neutre;sec;0;21;21;5;5;22;520319,66;8592688,64
2021;Mars ;05/11/2021;4;Koungou;Kangani;U;Neutre;Neutre;sec;0;21;21;5;5;22;520157,31;8592912,59
2021;Mars ;05/11/2021;5;Koungou;Kangani;U;Neutre;Neutre;sec;0;21;21;5;5;22;520046,77;8592876,28
2021;Mars ;08/10/2021;4;Koungou;Kangani;U;Neutre;Neutre;sec;0;21;21;5;5;23;520157,31;8592912,59
2021;Mars ;30/09/2021;6;Koungou;Kangani;U;Neutre;Neutre;sec;0;21;21;5;5;23;520115,69;8592855,11
2021;Mars ;30/09/2021;5;Koungou;Kangani;U;Neutre;Neutre;sec;0;22;22;5;5;23;520046,77;8592876,28
2021;Mars ;30/09/2021;2;Koungou;Kangani;U;Neutre;Neutre;sec;0;22;22;5;5;23;520214,66;8592955,12
2021;Mars ;09/09/2021;5;Koungou;Kangani;U;Neutre;Neutre;sec;0;22;22;5;5;23;520046,77;8592876,28
2021;Septembre;04/03/2021;1;Koungou;Kangani;U;Neutre;Neutre;sec;63;22;85;5;0;85;520396,49;8593102,62
2021;Septembre;04/03/2021;2;Koungou;Kangani;U;Neutre;Neutre;sec;62;21;85;5;5;35;520214,66;8592955,12
2021;Juillet ;30/06/2021;8;Koungou;Kangani;U;trouble;élevés;faible;95;17;17;5;5;22;520212,53;8592719,58
2021;mai;09/06/2021;4;Koungou;Kangani;U;claire;faibles;sec;180;0;0;5;5;5;520157,31;8592912,59
2021;mai;18/05/2021;5;Koungou;koungou;PU;Neutre;faibles;sec;29;19;19;8;8;19;522709,17;8592231,19
2021;Octobre;29/04/2021;8;Koungou;koungou;PU;trouble;élevés;normal;78;94;94;0;0;94;522968,59;8586932,19
2021;Août;29/04/2021;8;Koungou;Kangani;U;claire;Neutre;normal;55;47;47;0;0;47;520212,53;8592719,58
2021;Juillet ;16/06/2021;6;Koungou;koungou;PU;Neutre;faibles;sec;165;19;0;8;8;8;522787,51;8592320,59
2021;Juin;26/05/2021;6;Koungou;koungou;PU;Neutre;faibles;sec;97;19;19;8;8;19;522787,51;8592320,48
2021;Juillet ;18/05/2021;4;Koungou;koungou;PU;Neutre;faibles;sec;99;19;19;8;8;19;522716,33;8592232,18
2021;mai;02/06/2021;6;Koungou;Kangani;U;trouble;élevés;sec;84;30;30;5;5;21;520115,69;8592855,11
2021;mai;30/06/2021;1;Koungou;Kangani;U;Neutre;Neutre;sec;250;39;39;5;5;21;520396,49;8593102,62
2021;Septembre;26/05/2021;1;Koungou;koungou;PU;Neutre;faibles;sec;29;29;29;17;17;46;522706,99;8592096,84
2021;mai;29/04/2021;2;Koungou;koungou;PU;claire;faibles;faible;29;0;0;8;8;8;523367,81;8592152,36
2021;Septembre;29/04/2021;6;Koungou;koungou;PU;claire;faibles;faible;83;38;38;8;8;46;522787,51;8592320,48
2021;Octobre;29/04/2021;4;Koungou;koungou;PU;claire;faibles;faible;62;74;74;18;18;92;522716,33;8592232,18
2021;mai;29/03/2021;6;Koungou;koungou;U;claire;faibles;faible;30;0;0;8;8;8;522787,51;8592320,48
2021;Juillet ;29/03/2021;5;Koungou;koungou;U;claire;faibles;faible;59;19;19;8;8;19;522709,17;8592231,19
2021;Septembre;29/04/2021;3;Koungou;koungou;PU;claire;faibles;normal;54;29;29;8;8;37;522693,5;8592187,42
2021;Octobre;29/03/2021;3;Koungou;koungou;U;claire;faibles;normal;80;62;62;8;8;70;522690,57;8592187,42
2021;Octobre;29/04/2021;5;Koungou;koungou;PU;claire;faibles;normal;119;63;63;8;8;71;522709,17;8592231,19
2021;Octobre;29/04/2021;1;Koungou;koungou;PU;claire;faibles;normal;103;59;59;24;24;83;522706,99;8592096,84
2021;Août;02/06/2021;7;Koungou;koungou;PU;trouble;élevés;sec;32;11;11;18;18;29;522822,77;8592305,64
2021;Août;07/07/2021;4;Koungou;Koungou;PU;trouble;élevés;sec;34;6;6;8;8;14;522715,93;11408268,3
2021;Août;23/03/2021;2;Koungou;koungou;PU;trouble;élevés;sec;241;19;10;8;8;18;523367,81;8592152,36
2021;mai;16/09/2021;3;Koungou;Koungou;PU;trouble;élevés;sec;11;19;19;8;8;19;522693,5;8592187,42
2021;Juin;16/09/2021;2;Koungou;Koungou;PU;trouble;élevés;sec;64;19;19;8;8;19;523367,81;8592152,36
2021;Septembre;27/08/2021;1;Koungou;Koungou;PU;trouble;élevés;sec;24;13;13;8;8;21;522706,99;8592096,84
